ANCESTOR,ASSETNUM,ASSETTAG,ASSETTYPE,AUTOWOGEN,BINNUM,BUDGETCOST,CALNUM,CHANGEBY,CHANGEDATE,CHANGEPMSTATUS,CHILDREN,CONDITIONCODE,AS_DESCRIPTION
1,Note031,44,IT4,0,56,0,88,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,90,Thinkpad notebook T61P
2,Note032,55,IT5,0,57,0,89,MAXADMIN,2011-09-22T17:11:45-07:00,0,,91,Thinkpad notebook T61P
3,Note033,66,IT6,0,58,0,90,MAXADMIN,2011-09-22T17:11:45-07:00,,0,92,Thinkpad notebook T61P
4,Note034,77,IT7,0,59,0,91,MAXADMIN,2011-09-22T17:11:45-07:00,,0,93,Thinkpad notebook T61P
5,Note035,88,IT8,0,60,0,92,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,94,Thinkpad notebook T61P
6,Note036,99,IT9,0,61,0,93,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,95,Thinkpad notebook T61P
7,Note037,110,IT10,0,62,0,94,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,96,Thinkpad notebook T61P
8,Note038,121,IT11,0,63,0,95,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,97,Thinkpad notebook T61P
9,Note039,132,IT12,0,64,0,96,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,98,Thinkpad notebook T61P
10,Note040,143,IT13,0,65,0,97,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,99,Thinkpad notebook T61P
11,Note041,154,IT14,0,66,0,98,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,100,Thinkpad notebook T61P
12,Note042,165,IT15,0,67,0,99,MAXADMIN,2011-09-22T17:11:45-07:00,0,0,101,Thinkpad notebook T61P
